Date,Open,High,Low,Close,Adj Close,Volume
2017-01-06,39.118000,39.972000,38.924000,39.799500,39.799500,119724000
2017-01-09,39.900002,40.088501,39.588501,39.846001,39.846001,68922000
2017-01-10,39.830002,39.900002,39.477001,39.794998,39.794998,51168000
2017-01-11,39.682999,39.974998,39.475498,39.951000,39.951000,59856000
2017-01-12,40.015499,40.706501,39.974998,40.681999,40.681999,97478000
2017-01-13,40.716000,41.082500,40.570000,40.856998,40.856998,75838000
2017-01-17,40.785000,40.799999,40.172001,40.486000,40.486000,73410000
2017-01-18,40.474998,40.586498,40.213501,40.374001,40.374001,47084000
2017-01-19,40.500000,40.675499,40.366001,40.452000,40.452000,50816000
2017-01-20,40.764000,40.800999,40.313000,40.416500,40.416500,67524000
2017-01-23,40.340000,40.924999,40.254002,40.894001,40.894001,55950000
2017-01-24,41.099998,41.199501,40.724998,41.122002,41.122002,59434000
2017-01-25,41.289501,41.870998,41.264500,41.826000,41.826000,78452000
2017-01-26,41.776501,42.192001,41.650002,41.957500,41.957500,71726000
2017-01-27,41.950001,41.985001,41.472000,41.788502,41.788502,59974000
2017-01-30,41.650002,41.674999,40.819000,41.519001,41.519001,74946000
2017-01-31,41.187500,41.349499,40.978001,41.174000,41.174000,62744000
2017-02-01,41.460499,41.688999,41.247002,41.617500,41.617500,77004000
2017-02-02,41.829498,42.124500,41.412998,41.997501,41.997501,147010000
2017-02-03,40.335999,40.915001,40.200001,40.509998,40.509998,217376000
2017-02-06,40.490002,40.535999,40.150002,40.382000,40.382000,77946000
2017-02-07,40.465500,40.807999,40.375000,40.625000,40.625000,69322000
2017-02-08,40.634499,41.074001,40.625000,40.985500,40.985500,57160000
2017-02-09,41.080002,41.250000,40.985500,41.068001,41.068001,49698000
2017-02-10,41.191002,41.400002,41.142502,41.373001,41.373001,48592000
2017-02-13,41.581001,42.150002,41.427502,41.826500,41.826500,83452000
2017-02-14,41.849998,41.915501,41.572498,41.819500,41.819500,55848000
2017-02-15,41.700001,42.140499,41.640999,42.134998,42.134998,59378000
2017-02-16,42.091999,42.250000,41.969002,42.207001,42.207001,54294000
2017-02-17,42.099998,42.363499,42.036499,42.253502,42.253502,62246000
2017-02-21,42.442001,42.898998,42.362499,42.821999,42.821999,70154000
2017-02-22,42.847500,42.921501,42.609001,42.780499,42.780499,52340000
2017-02-23,42.878502,43.042999,42.400002,42.609501,42.609501,69240000
2017-02-24,42.234501,42.290501,41.887501,42.262001,42.262001,73760000
2017-02-27,42.118999,42.625000,41.983501,42.431999,42.431999,54272000
2017-02-28,42.572498,42.704498,42.102501,42.251999,42.251999,55874000
